topology_id,scenario_group_id,ranking_group_id,pair_id,route_id,outer_holdout_fold
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_01,pair_01,pair_01_route_01,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_01,pair_01,pair_01_route_02,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_01,pair_01,pair_01_route_03,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_01,pair_01,pair_01_route_04,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_02,pair_02,pair_02_route_01,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_02,pair_02,pair_02_route_02,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_02,pair_02,pair_02_route_03,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_02,pair_02,pair_02_route_04,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_03,pair_03,pair_03_route_01,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_03,pair_03,pair_03_route_02,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_03,pair_03,pair_03_route_03,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_03,pair_03,pair_03_route_04,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_04,pair_04,pair_04_route_01,1
train_mesh_8node_multipair_01,train_mesh_8node_multipair_01::scenario_001,train_mesh_8node_multipair_01::scenario_001::pair_04,pair_04,pair_04_route_02,1
